"countryn","shortnam","logpgp95","logem4","urbz1995","lpd1500s","bonly","eonly","cu1500","sjb1500","sjb1000","asia","africa","americas"
"Somalia","SOM",NA,NA,25.6000003814697,0.243123039603233,NA,NA,NA,NA,NA,0,1,0
"Suriname","SUR",8.01000022888184,3.47134518623352,49.0999984741211,-1.5464631319046,NA,0,NA,NA,NA,0,0,1
"SWAZILAND","SWZ",8.10772037506104,NA,31.1000003814697,-0.710537493228912,NA,NA,NA,NA,NA,0,1,0
"Chad","TCD",6.8351845741272,5.63478946685791,22.2000007629395,0,NA,NA,7.5,NA,NA,0,1,0
"Togo","TGO",7.2225661277771,6.50428819656372,30.7000007629395,1.44220197200775,NA,NA,NA,NA,NA,0,1,0
"Trinidad and Tobago","TTO",8.76873016357422,4.44265127182007,71.6999969482422,0.378436475992203,NA,0,NA,NA,NA,0,1,0
"Tunisia","TUN",8.4826021194458,4.14313459396362,61.9000015258789,2.45984721183777,NA,8.125,11.3000001907349,12.3000001907349,7.80000019073486,0,1,0
"Tanzania","TZA",6.25382900238037,5.63478946685791,24.2000007629395,0.683377921581268,NA,NA,NA,NA,NA,0,1,0
"Uganda","UGA",6.96602439880371,5.63478946685791,12.5,2.01665449142456,NA,NA,NA,NA,NA,0,1,0
"Uruguary","URY",9.03121376037598,4.26268005371094,90.3000030517578,-2.21072196960449,0,0,NA,0,0,0,0,1
"USA","USA",10.2157402038574,2.70805025100708,76.0999984741211,-2.4378936290741,0,0,0,0,0,0,0,1
"St. Vincent","VCT",8.31874179840088,NA,48.0999984741211,0.378436475992203,NA,NA,NA,NA,NA,0,0,1
"Venezuela","VEN",9.07107830047607,4.35799026489258,85.8000030517578,-0.820980548858643,0,0,NA,0,0,0,0,1
"Vietnam","VNM",7.27931880950928,4.94164228439331,19.3999996185303,1.81557071208954,9,10,2,7.26999998092651,NA,1,0,0
"South Africa","ZAF",8.88599395751953,2.74083995819092,49.2999992370605,-0.710528612136841,NA,NA,NA,NA,NA,0,1,0
"Zaire","ZAR",6.86693334579468,5.48063898086548,28.7000007629395,0.405465096235275,NA,NA,0.5,NA,NA,0,1,0
"Zambia","ZMB",6.8134446144104,NA,43,-0.235722303390503,NA,NA,NA,NA,NA,0,1,0
"Zimbabwe","ZWE",7.69621276855469,NA,31.7999992370605,-0.235722303390503,NA,NA,2,NA,NA,0,1,0
